Ranking,Title,Year,Duration,Genre,Point,Vote_Count
91,91. Requiem for a Dream,2000,1h 42m,NC-17,8.3, (910K)
92,92. Toy Story 3,2010,1h 43m,G,8.3, (903K)
93,93. Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,PG,8.3, (1.1M)
94,94. Eternal Sunshine of the Spotless Mind,2004,1h 48m,R,8.3, (1.1M)
95,95. The Hunt,2012,1h 55m,R,8.3, (370K)
96,96. 2001: A Space Odyssey,1968,2h 29m,G,8.3, (728K)
97,97. Ikiru,1952,2h 23m,Not Rated,8.3, (89K)
98,98. Reservoir Dogs,1992,1h 39m,R,8.3, (1.1M)
99,99. Lawrence of Arabia,1962,3h 38m,PG,8.3, (318K)
100,100. The Apartment,1960,2h 5m,Approved,8.3, (199K)
101,101. Incendies,2010,2h 11m,R,8.3, (208K)
102,102. Oppenheimer,2023,3h,R,8.3, (784K)
103,103. North by Northwest,1959,2h 16m,Approved,8.3, (350K)
104,104. Scarface,1983,2h 50m,R,8.3, (929K)
105,105. Citizen Kane,1941,1h 59m,PG,8.3, (470K)
106,106. Double Indemnity,1944,1h 47m,Approved,8.3, (169K)
107,107. M,1931,1h 39m,Passed,8.3, (170K)
108,108. Vertigo,1958,2h 8m,PG,8.3, (432K)
109,109. Full Metal Jacket,1987,1h 56m,R,8.2, (799K)
110,110. Amélie,2001,2h 2m,R,8.3, (801K)
111,111. Heat,1995,2h 50m,R,8.3, (729K)
112,112. Up,2009,1h 36m,PG,8.3, (1.1M)
113,113. A Clockwork Orange,1971,2h 16m,R,8.3, (889K)
114,114. To Kill a Mockingbird,1962,2h 9m,Approved,8.3, (336K)
115,115. A Separation,2011,2h 3m,PG-13,8.3, (261K)
116,116. The Sting,1973,2h 9m,PG,8.3, (282K)
117,117. Die Hard,1988,2h 12m,R,8.2, (956K)
118,118. Indiana Jones and the Last Crusade,1989,2h 7m,PG-13,8.2, (818K)
119,119. Like Stars on Earth,2007,2h 42m,PG,8.3, (209K)
120,120. Metropolis,1927,2h 33m,Not Rated,8.3, (188K)
121,121. Snatch,2000,1h 42m,R,8.2, (920K)
122,122. 1917,2019,1h 59m,R,8.2, (691K)
123,123. L.A. Confidential,1997,2h 18m,R,8.2, (624K)
124,124. Bicycle Thieves,1948,1h 29m,Not Rated,8.3, (177K)
125,125. Hamilton,2020,2h 40m,PG-13,8.3, (117K)
126,126. Taxi Driver,1976,1h 54m,R,8.2, (935K)
127,127. Downfall,2004,2h 36m,R,8.2, (378K)
128,128. Dangal,2016,2h 41m,Not Rated,8.3, (215K)
129,129. Batman Begins,2005,2h 20m,PG-13,8.2, (1.6M)
130,130. For a Few Dollars More,1965,2h 12m,R,8.2, (278K)
131,131. The Wolf of Wall Street,2013,3h,R,8.2, (1.6M)
132,132. Green Book,2018,2h 10m,PG-13,8.2, (588K)
133,133. Some Like It Hot,1959,2h 1m,Approved,8.2, (286K)
134,134. The Kid,1921,1h 8m,Passed,8.2, (136K)
135,135. The Father,2020,1h 37m,PG-13,8.2, (198K)
136,136. Judgment at Nuremberg,1961,2h 59m,Approved,8.3, (87K)
137,137. The Truman Show,1998,1h 43m,PG,8.2, (1.2M)
138,138. All About Eve,1950,2h 18m,Approved,8.2, (140K)
139,139. Shutter Island,2010,2h 18m,R,8.2, (1.5M)
140,140. There Will Be Blood,2007,2h 38m,R,8.2, (649K)
141,141. Top Gun: Maverick,2022,2h 10m,PG-13,8.2, (724K)
142,142. Jurassic Park,1993,2h 7m,PG-13,8.2, (1.1M)
143,143. Casino,1995,2h 58m,R,8.2, (571K)
144,144. Ran,1985,2h 40m,R,8.2, (138K)
145,145. The Sixth Sense,1999,1h 47m,PG-13,8.2, (1.1M)
146,146. Pan's Labyrinth,2006,1h 58m,R,8.2, (708K)
147,147. Unforgiven,1992,2h 10m,R,8.2, (441K)
148,148. No Country for Old Men,2007,2h 2m,R,8.2, (1.1M)
149,149. The Thing,1982,1h 49m,R,8.2, (474K)
150,150. A Beautiful Mind,2001,2h 15m,PG-13,8.2, (997K)
151,151. Kill Bill: Vol. 1,2003,1h 51m,R,8.2, (1.2M)
152,152. The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2, (134K)
153,153. Yojimbo,1961,1h 50m,Not Rated,8.2, (133K)
154,154. The Great Escape,1963,2h 52m,Approved,8.2, (261K)
155,155. Monty Python and the Holy Grail,1975,1h 31m,PG,8.2, (575K)
156,156. Finding Nemo,2003,1h 40m,G,8.2, (1.1M)
157,157. Prisoners,2013,2h 33m,R,8.2, (826K)
158,158. Howl's Moving Castle,2004,1h 59m,PG,8.2, (459K)
159,159. Rashomon,1950,1h 28m,Not Rated,8.2, (183K)
160,160. The Elephant Man,1980,2h 4m,PG,8.2, (261K)
161,161. Dial M for Murder,1954,1h 45m,PG,8.2, (191K)
162,162. Chinatown,1974,2h 10m,R,8.1, (354K)
163,163. Gone with the Wind,1939,3h 58m,G,8.2, (337K)
164,"164. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1, (621K)
165,165. V for Vendetta,2005,2h 12m,R,8.1, (1.2M)
166,166. The Secret in Their Eyes,2009,2h 9m,R,8.2, (225K)
167,167. Inside Out,2015,1h 35m,PG,8.1, (820K)
168,168. Raging Bull,1980,2h 9m,R,8.1, (384K)
169,"169. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1, (562K)
170,170. Trainspotting,1996,1h 33m,R,8.1, (732K)
171,171. The Bridge on the River Kwai,1957,2h 41m,PG,8.1, (236K)
172,172. Klaus,2019,1h 36m,PG,8.2, (193K)
173,173. Catch Me If You Can,2002,2h 21m,PG-13,8.1, (1.1M)
174,174. Fargo,1996,1h 38m,R,8.1, (734K)
175,175. Warrior,2011,2h 20m,PG-13,8.1, (502K)
176,176. Spider-Man: No Way Home,2021,2h 28m,PG-13,8.2, (900K)
177,177. Gran Torino,2008,1h 56m,R,8.1, (821K)
178,178. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1, (961K)
179,179. Million Dollar Baby,2004,2h 12m,PG-13,8.1, (728K)
180,180. My Neighbor Totoro,1988,1h 26m,G,8.1, (388K)
181,181. Mad Max: Fury Road,2015,2h,R,8.1, (1.1M)
182,182. Children of Heaven,1997,1h 29m,PG,8.2, (82K)
183,183. 12 Years a Slave,2013,2h 14m,R,8.1, (747K)
184,184. Ben-Hur,1959,3h 32m,G,8.1, (256K)
185,185. Before Sunrise,1995,1h 41m,R,8.1, (345K)
186,186. Barry Lyndon,1975,3h 5m,PG,8.1, (186K)
187,187. Blade Runner,1982,1h 57m,R,8.1, (831K)
188,188. The Grand Budapest Hotel,2014,1h 39m,R,8.1, (897K)
189,189. Hacksaw Ridge,2016,2h 19m,R,8.1, (606K)
190,190. Gone Girl,2014,2h 29m,R,8.1, (1.1M)
191,191. Dead Poets Society,1989,2h 8m,PG,8.1, (557K)
192,192. Memories of Murder,2003,2h 12m,Not Rated,8.1, (222K)
193,193. In the Name of the Father,1993,2h 13m,R,8.1, (189K)
194,194. The Gold Rush,1925,1h 35m,Approved,8.1, (120K)
195,"195. Monsters, Inc.",2001,1h 32m,G,8.1, (992K)
196,196. Wild Tales,2014,2h 2m,R,8.1, (219K)
197,197. The Deer Hunter,1978,3h 3m,R,8.1, (366K)
198,198. The General,1926,1h 18m,Passed,8.1, (99K)
199,199. Jaws,1975,2h 4m,PG,8.1, (671K)
200,200. On the Waterfront,1954,1h 48m,Approved,8.1, (167K)
201,201. Sherlock Jr.,1924,45m,Passed,8.2, (58K)
202,202. How to Train Your Dragon,2010,1h 38m,PG,8.1, (811K)
203,203. Ratatouille,2007,1h 51m,G,8.1, (842K)
204,204. Mary and Max,2009,1h 32m,Not Rated,8.1, (188K)
205,205. The Third Man,1949,1h 33m,Approved,8.1, (184K)
206,206. The Wages of Fear,1953,2h 11m,Not Rated,8.1, (67K)
207,207. Wild Strawberries,1957,1h 31m,Not Rated,8.1, (116K)
208,208. Ford v Ferrari,2019,2h 32m,PG-13,8.1, (490K)
209,209. Mr. Smith Goes to Washington,1939,2h 9m,Approved,8.1, (122K)
210,210. Maharaja,2024,2h 30m,Not Rated,8.6, (38K)
211,211. Tokyo Story,1953,2h 16m,Not Rated,8.1, (70K)
212,212. Logan,2017,2h 17m,R,8.1, (854K)
213,213. Rocky,1976,2h,PG,8.1, (637K)
214,214. The Big Lebowski,1998,1h 57m,R,8.1, (869K)
215,215. The Seventh Seal,1957,1h 36m,Not Rated,8.1, (201K)
216,216. Room,2015,1h 58m,R,8.1, (456K)
217,217. Spotlight,2015,2h 9m,R,8.1, (506K)
218,218. The Terminator,1984,1h 47m,R,8.1, (936K)
219,219. Hotel Rwanda,2004,2h 1m,PG-13,8.1, (375K)
220,220. Platoon,1986,2h,R,8.1, (444K)
221,221. La haine,1995,1h 38m,Not Rated,8.1, (200K)
222,222. Before Sunset,2004,1h 20m,R,8.1, (292K)
223,223. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13,8.1, (1.2M)
224,224. Jai Bhim,2021,2h 44m,Approved,8.7, (219K)
225,225. The Passion of Joan of Arc,1928,1h 54m,Passed,8.1, (62K)
226,226. The Best Years of Our Lives,1946,2h 50m,Approved,8.1, (71K)
227,227. The Exorcist,1973,2h 2m,R,8.1, (461K)
228,228. Rush,2013,2h 3m,R,8.1, (520K)
229,229. Network,1976,2h 1m,R,8.1, (173K)
230,230. The Wizard of Oz,1939,1h 42m,G,8.1, (433K)
231,231. The Incredibles,2004,1h 55m,PG,8.0, (822K)
232,232. Stand by Me,1986,1h 29m,R,8.1, (448K)
233,233. Hachi: A Dog's Tale,2009,1h 33m,G,8.1, (316K)
234,234. The Sound of Music,1965,2h 52m,G,8.1, (265K)
235,235. The Handmaiden,2016,2h 25m,Not Rated,8.1, (177K)
236,236. My Father and My Son,2005,1h 52m,Not Rated,8.2, (94K)
237,237. To Be or Not to Be,1942,1h 39m,Approved,8.1, (44K)
238,238. Into the Wild,2007,2h 28m,R,8.1, (663K)
239,239. The Battle of Algiers,1966,2h 1m,Not Rated,8.1, (67K)
240,240. Groundhog Day,1993,1h 41m,PG,8.0, (693K)
241,241. The Grapes of Wrath,1940,2h 9m,Approved,8.1, (101K)
242,242. The Iron Giant,1999,1h 26m,PG,8.1, (232K)
243,243. Amores Perros,2000,2h 34m,R,8.1, (255K)
244,244. Rebecca,1940,2h 10m,Approved,8.1, (148K)
245,245. Cool Hand Luke,1967,2h 7m,Approved,8.1, (190K)
246,246. The Help,2011,2h 26m,PG-13,8.1, (499K)
247,247. It Happened One Night,1934,1h 45m,Approved,8.1, (114K)
248,248. Aladdin,1992,1h 30m,G,8.0, (475K)
249,"249. Paris, Texas",1984,2h 25m,R,8.1, (122K)
250,250. Drishyam,2015,2h 43m,Not Rated,8.2, (97K)
